"නී
 
ති  විර ෝධී  රෙස  එකෙස්  ක න  ෙද  ජීප්   ථයක්  සමඟ  සැකකරුරෙකු  අත්අඩංගුෙට  ගැනීම  -"
"ෙොන දූෂණ මර්ධන ප්‍රහා ක ඒකකය."
"2025.07.19  ෙන  අද  දින  මතුගම  ර ාලිස්  ෙසරේ  නෑබඩ  ප්‍රරේශරේදී  ෙොන  දූෂන  මර්ධන"
"ප්‍රහා ක ඒකකරේ නිෙර්ාරීන් විසින් ෙද රතා තු ක් මත ෙැටලීමක් සිදු ක  නීති විර ෝධී රෙස"
"රකාටස්  ෙශරයන්  රම ටට  රගන්ො  එකෙස්  ක   කූට  රෙඛණ  භාවිතා  ක මින්  ලියා දිංචි  ක"
"ඇති  බෙට  සැකක න  ෙෑන්්  කෘෂධ  ෙගධරේ  ජීප්   ථයක්  සමඟ  සැකකරුරෙකු  අත්අඩංගුෙට"
"රගන මතුගම ර ාලිස් ස්ථානය රෙත ඉදිරි ත් ක  ඇත."
"සැකකරු ෙයස අවුරුදු 31 ක් ෙන මතුගම ප්‍රරේශරේ  දිංචිකරුරෙකි."
"ෙොන දූෂණ මර්ධන ප්‍රහා ක ඒකකය ෙැඩිදු  විමශධන සිදු ක නු ෙබයි."
