"මත්ද්‍රව්‍ය ව්‍්ගගයාත","","ප්‍රමාණයාත","","ව්‍ැටලී්ක","සැරරුවව්‍්"
"","Kg","g","mg","ගණන","ගණන"
"මහමමොයි්","","","","",""
"","02","298","955","1090","1089"
"අයිස්","","","","",""
"","02","073","924","1112","1109"
"හෑෂ්","","","","",""
"","-","206","654","24","24"
"ගංාා","","","","",""
"","21","280","722","885","884"
"ගංාා පැල","","","","",""
"","","26281","","30","30"
"මත්මපති","","","","",""
"","","11474","","58","57"
"සිගමට්","","","","",""
"","","1290","","13","13"
"සමස්ථ මත්ද්‍රව්‍ය ව්‍ැටලී්ක","","","","3212","3206"
"හා සැරරුවව්‍් සංඛ්‍යාව්‍","","","","",""
